source	reference	first_translation	first_bleu	first_comet	reflection	second_translation	second_bleu	second_comet	second_correct
Cisha	Shut Down	Cisha	0	0.5863510370254517	"Error Diagnosis: Literal phrasing
Minimal Correction: Replace with ""Shut Down""
Must-Preserve: Cisha
Factual Detail: The action of shutting down."	Shut Down	0.2213885886251307	0.9830284118652344	TRUE
Ukugcwaliswa	Saturation	Fulfillment	0	0.4522877037525177	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Change from ""Fulfillment"" to ""Saturation""
Must-Preserve: Ukugcwaliswa
Factual Detail: Reflects the concept of being completely filled or saturated."	Saturation	1	0.9870988726615906	TRUE
Akunasithombe esifakiwe.	Image loading failed.	There are no images attached.	0.037593405	0.5800801515579224	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Change to ""Image loading failed.""
Must-Preserve: Akunasithombe
Factual Detail: Conveys the failure of image loading."	Image loading failed.	1	0.9744549989700317	TRUE
Inkino_bho:	_Bottom:	Inkino_bho:	0.067544361	0.6185832023620605	"Error Diagnosis: Incorrect translation of the word ""Bottom"".
Minimal Correction: Replace ""Inkino_bho"" with ""Bottom"".
Must-Preserve: None
Factual Detail: The correct translation is crucial for accurate understanding."	Bottom:	0.067544361	0.8623731732368469	TRUE
Hambisa uhlamvu olukhethiwe ngalunye ukuya kudoti	Move the selected file out of the trash to “%s”	Move each selected item to the trash.	0.047939885058777255	0.6981446743011475	"Error Diagnosis: Incorrect destination specified
Minimal Correction: Change destination to ""out of the trash""
Must-Preserve: selected file
Factual Detail: Moving the item out of the trash is the correct action."	Move each selected item out of the trash	0.20479259709128803	0.6976087093353271	FALSE
_Jikeliza isikhala sohlu oloqonde-thwi	_Rotate on vertical panels	Rotate the list in a straight line	0	0.5864062309265137	"Error Diagnosis: Literal phrasing
Minimal Correction: Use vertical panels
Must-Preserve: Rotate
Factual Detail: Specifies the direction of rotation."	Rotate the vertical panel clockwise.	0.037593405	0.7578156590461731	TRUE
_Ibizo:	_Title:	Noun:	0.067544361	0.6616660356521606	"Error Diagnosis: Incorrect part of speech.
Minimal Correction: Change ""Noun"" to ""Title"".
Must-Preserve: Ibizo
Factual Detail: Capturing the meaning of a title or name."	"Title:
Ibizo"	0.0724975	0.697577178	FALSE
Gcina isithombe	Save Image	Keep the picture	0	0.5860963463783264	"Error Diagnosis: Literal phrasing
Minimal Correction: Use accurate equivalent term
Must-Preserve: Image
Factual Detail: The translation should accurately convey the action of saving an image."	Save the image	0.0724975	0.9091619849205017	TRUE
_Imniningwane yendikima	Show details	Details of the melody	0	0.5825016498565674	"Error Diagnosis: Incorrect phrasing
Minimal Correction: Replace with ""Show details""
Must-Preserve: Details
Factual Detail: Capture the idea of displaying specific information."	Show details of the melody	0.12121093525642128	0.6576677560806274	FALSE
Okujikelele	General	Circular	0	0.6461637020111084	"Error Diagnosis: Inaccurate categorization
Minimal Correction: Change from ""Circular"" to ""General""
Must-Preserve: Okujikelele
Factual Detail: Conveys the concept of being all-encompassing."	Okujikelele	0	0.619026244	FALSE
_Ungayenzi	_Undo	You can do it	0	0.4327857494354248	"Error Diagnosis: Incorrect meaning
Minimal Correction: Change from ""You can do it"" to ""Undo""
Must-Preserve: Ungayenzi
Factual Detail: The action should be to undo, not to do."	Undo	0	0.6789588928222656	FALSE
Okuthandwa iNhlanzi	Fish Preferences	What the Fish Likes	0.061033220311973134	0.6915413737297058	"Error Diagnosis: Misinterpretation
Minimal Correction: Use more accurate term
Must-Preserve: Fish, Preferences
Factual Detail: Reflects the idea of fish having specific preferences."	Beloved Fish Preferences	0.21177974141341938	0.78821677	TRUE
Ifayela elivumelekile .ifayela lobuso bekhomphyutha	File is not a valid .desktop file	A valid file. A computer face file.	0.030601688609851067	0.5666828155517578	"Error Diagnosis: Literal phrasing
Minimal Correction: Use accurate translation for ""desktop""
Must-Preserve: File, valid
Factual Detail: Correctly identify the file as a desktop file."	A valid file. A desktop file.	0.034010868	0.6689372658729553	FALSE
Ayaziwa	Unknown	It is known	0	0.5686625838279724	"Error Diagnosis: Opposite meaning
Minimal Correction: Change to ""Unknown""
Must-Preserve: Ayaziwa
Factual Detail: Conveys the idea of not being known."	Unknown	1	0.9875068664550781	TRUE
_Lungisa	_Debug	Lungisa	0	0.6414692401885986	"Error Diagnosis: Incorrect translation
Minimal Correction: Replace with correct translation
Must-Preserve: _Lungisa
Factual Detail: Means ""Debug"" in isiZulu"	_Debug_	0	0.968447208	TRUE
Hlola ohele ngogama-hele kuphela	Search for files by file name only	Check only with the name tag.	0.038481967	0.47331759333610535	"Error Diagnosis: Incorrect phrasing
Minimal Correction: Use ""file name"" instead of ""name tag""
Must-Preserve: Search for files
Factual Detail: Must specify searching by file names only."	Search only by the file name.	0.10303305383657904	0.8418788909912109	TRUE
Ukuma	Orientation	Standing	0	0.5347418785095215	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Use correct term
Must-Preserve: Ukuma
Factual Detail: Reflects the concept of orientation."	Ukuma	0	0.6541398167610168	FALSE
_Isibekisi-bhukwini	_Bookmarks	The book cover	0	0.5547983050346375	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Use correct term
Must-Preserve: isiZulu term
Factual Detail: Bookmarks are different from book covers."	Bookmark	0	0.6511422991752625	FALSE
_Ukubala	Countdown length	Counting	0	0.588040292	"Error Diagnosis: Inaccurate length interpretation
Minimal Correction: Add ""length"" to convey the correct meaning
Must-Preserve: Countdown
Factual Detail: Emphasize the duration or length aspect of the countdown."	Counting the length	0.0724975	0.7510061264038086	TRUE
i-GDM iqala futhu ...	Restarting computer...	The GDM also begins ...	0.045649693	0.5017624497413635	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Change to reflect the actual meaning
Must-Preserve: GDM
Factual Detail: The translation should convey restarting the computer."	The GDM restarts ...	0.061033220311973134	0.6116544008255005	FALSE
Fiphele	%l:%M %p	Fiphele	0	0.5140239000320435	"Error Diagnosis: Missing time format
Minimal Correction: Add time format
Must-Preserve: Fiphele
Factual Detail: Converting isiZulu time to 12-hour format."	It is twelve o'clock.	0	0.32272279262542725	FALSE
_Ungenzi	_Undo	You are not doing	0	0.35310715436935425	"Error Diagnosis: Incorrect verb choice
Minimal Correction: Use correct verb ""Undo""
Must-Preserve: ""Ungenzi""
Factual Detail: Correctly convey the meaning of ""undo"" in isiZulu."	You do not undo	0	0.4236268699169159	FALSE
_Vula idokhumende	_Unlock Document	Open the document	0	0.6971538066864014	"Error Diagnosis: Incorrect meaning
Minimal Correction: Change to ""Unlock Document""
Must-Preserve: ""Vula idokhumende""
Factual Detail: Emphasize the action of unlocking rather than simply opening."	Unlock Document	0.067544361	0.9309539198875427	TRUE
%s ayinamsebenzi. Ithatha isikhala ecwecweni nongqoqelelo sikhathi, uma ihlohliwe izothatha isikhalo esibalulekile esikhaleni sohlu nemqondo. Uma utholakala uyisebenzisa, makaphuthumiswe ahlolwe ingqondo.	%s has no use what-so-ever. It only takes up disk space and compilation time, and if loaded it also takes up precious panel space and memory. Anybody found using it should be promptly sent for a psychiatric evaluation.	%s is useless. It takes up space in the document and accumulates time; when neglected, it will take an important complaint in the space of the list and the mind. If you find it, it should be urgently reviewed.	0.05446267	0.5416324734687805	"Error Diagnosis: Incorrect meaning interpretation
Minimal Correction: Use accurate translation
Must-Preserve: %s, is useless
Factual Detail: Convey lack of usefulness in the translation."	%s is pointless. It occupies space unnecessarily and wastes time; if ignored, it will take up valuable space in the list and in the mind. If found, it should be promptly addressed.	0.09054748	0.6297823190689087	FALSE
Indawo ngezi(usuku)	Location at (date)	Place for (days)	0.05428694	0.6139269471168518	"Error Diagnosis: Misinterpretation of ""indawo""
Minimal Correction: Change ""place"" to ""location""
Must-Preserve: ""Indawo""
Factual Detail: Emphasizes the specific location rather than a general place."	Location for this (day)	0.049475702907177795	0.6642469763755798	FALSE
Cima umnlandu	Clea_r History	Plunge into the depths	0	0.46859896183013916	"Error Diagnosis: Misinterpretation
Minimal Correction: Use accurate translation
Must-Preserve: Cima, umnlandu
Factual Detail: Reflects the concept of clearing history."	Clear the history	0	0.6936119794845581	FALSE
Into engakwazi ukuqaliswa	Not a launchable item	Something that can be initiated	0	0.6401418447494507	"Error Diagnosis: Misinterpretation of negation
Minimal Correction: Use negative phrasing
Must-Preserve: Not a launchable item
Factual Detail: Emphasize the inability to initiate."	Not something that can be initiated	0.037593405	0.7081682085990906	TRUE
Hl_ela	_Edit	Hl_ela	0	0.6818606853485107	"Error Diagnosis: Missing content
Minimal Correction: Add missing information
Must-Preserve: Hl_ela
Factual Detail: Retain the original isiZulu term."	Wait	0	0.5265138745307922	FALSE
Tshengisa uhlu _lwezisebenziso ezaziwayo	List of locations	Show a list of known applications	0.037593405	0.6710320711135864	"Error Diagnosis: Misinterpretation of the meaning.
Minimal Correction: Show a list of locations
Must-Preserve: List
Factual Detail: Must accurately convey the concept of a list."	Display a list of known services	0.037593405	0.700324297	TRUE
Dala i_ngobo yomlando	Create _Archive	Create a historical record	0.061033220311973134	0.6305095553398132	"Error Diagnosis: Overly specific translation
Minimal Correction: Use broader term
Must-Preserve: Create
Factual Detail: Emphasize the action of creating instead of specifying the type of record."	Create a documentation of history	0.045649693	0.5368847846984863	FALSE
Nqabela imisindo uma _ukude noma umatasatasa	Disable sounds when _away or busy	Silence the noise when it is too far or too loud.	0.023837651	0.5223203301429749	"Error Diagnosis: Misinterpreted meaning
Minimal Correction: Use ""disable sounds"" instead of ""silence the noise""
Must-Preserve: _away, busy
Factual Detail: The translation should convey the idea of turning off sounds when not needed."	Turn off unnecessary sounds when away or busy.	0.089393672	0.8262872099876404	TRUE
Vula ngesinye _isisebenzisi esinye...	Other _Application...	Open with another application...	0.045649693	0.6076234579086304	"Error Diagnosis: Misinterpretation
Minimal Correction: Use correct term
Must-Preserve: Other, Application
Factual Detail: Maintain the sense of referring to a different application."	Open with another application...	0.045649693	0.6076234579086304	FALSE
Uma ngabe kungaboniswa isaziso esizivelelayo uma ngabe othintwayo eya ngaphandle kolayini.	Whether to show a popup notification when a contact goes offline.	If it could show a visible notice when the contacted person goes outside the line.	0.045799113	0.5865778923034668	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Use accurate wording
Must-Preserve: popup notification, contact, offline
Factual Detail: The notification should pop up when the contact goes offline."	A popup notification should appear when the contacted person goes offline outside the line.	0.060538296	0.7280881404876709	TRUE
Inkomba yokugcina	End index	The final reference	0	0.6151480674743652	"Error Diagnosis: Misinterpretation of ""inkomba yokugcina"".
Minimal Correction: Change to ""End index"".
Must-Preserve: Inkomba yokugcina
Factual Detail: Reflects the concept of a final reference point."	End index	0.2213885886251307	0.9801321625709534	TRUE
Isibonisi %s sihlangabezane nephutha masiqala.	The icon view encountered an error.	The indicator %s encountered an error as we began.	0.13190955568171472	0.5970041751861572	"Error Diagnosis: Inaccurate context
Minimal Correction: Replace with correct term
Must-Preserve: icon view, error
Factual Detail: The translation should reflect encountering an error in the icon view."	The icon view encountered an error as we began.	0.537284966	0.8096901774406433	TRUE
Akusiyona into engathunyelwa	Not a launchable item	It is not something that can be sent.	0	0.5883473753929138	"Error Diagnosis: Misinterpretation of meaning
Minimal Correction: Use appropriate contextual meaning
Must-Preserve: Not, launchable item
Factual Detail: Emphasis on the inability to be launched."	It is not something that can be launched.	0	0.6884878873825073	FALSE
Akha umqalisi omusha	Create a new folder '%s'	Build a new beginning	0.061884293332739315	0.5066707730293274	"Error Diagnosis: Misinterpreted context
Minimal Correction: Use correct software terminology
Must-Preserve: Create a new folder
Factual Detail: Specifies a technical action for organizing digital files."	Create a new folder	0.36787944117144233	0.8261463046073914	TRUE
Isiqalisi sabelo	Weather Information	The beginning of the story	0	0.525553823	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Use accurate translation
Must-Preserve: Isiqalisi, sabelo
Factual Detail: Refers to weather information, not a story."	Weather forecast	0.067544361	0.8452311158180237	TRUE
Isho inani lamachashazana uma indawo yohlu ifihlekele ngokuzenzakalela ekhoneni. Lesishuxulelo sibalulekile uma auto_hide uma kuyiqiniso.	Specifies the number of pixels visible when the panel is automatically hidden into a corner. This key is only relevant if the auto_hide key is true.	It specifies the value of the tooltip when the list area automatically hides in the corner. This configuration is important if auto_hide is true.	0.10003303037954804	0.678657055	"Error Diagnosis: Incorrect context interpretation
Minimal Correction: Revise the context for accurate translation.
Must-Preserve: auto_hide, corner, relevant
Factual Detail: Specifies visibility size when panel hides in corner with auto_hide true."	Specify the number of tooltips when the panel automatically hides in the corner. This configuration is crucial when auto_hide is true.	0.1333927406491165	0.715990424	TRUE
_Bonisa uhlu lwabangathintwa	_Show Contact List	Show the list of those who can be contacted	0	0.5622006058692932	"Error Diagnosis: Inaccurate phrasing
Minimal Correction: Use more concise wording
Must-Preserve: Show, Contact List
Factual Detail: Retain the idea of displaying a list of contacts."	Show the contact list	0	0.8480826616287231	TRUE
ngaziwa	Unknown	I am known.	0	0.5310394167900085	"Error Diagnosis: Incorrect negation.
Minimal Correction: Change ""known"" to ""unknown"".
Must-Preserve: ngaziwa
Factual Detail: Indicates lack of knowledge or recognition."	I am unknown.	0	0.7261068820953369	TRUE
_Isexwayiso	_Hint	Warning	0	0.5601083040237427	"Error Diagnosis: Incorrect meaning
Minimal Correction: Change from ""Warning"" to ""Hint""
Must-Preserve: Isexwayiso
Factual Detail: The word should convey a subtle suggestion rather than a strong caution."	Hint	0	0.6939696669578552	FALSE
Ulwembu	Network	A swarm	0	0.5767013430595398	"Error Diagnosis: Inaccurate translation
Minimal Correction: Change to ""network""
Must-Preserve: Ulwembu
Factual Detail: Reflects the concept of interconnectedness."	Network	1	0.9799266457557678	TRUE
Ulwembu	Network	The cloud	0	0.6768069863319397	"Error Diagnosis: Incorrect context
Minimal Correction: Change to ""network""
Must-Preserve: Ulwembu
Factual Detail: The term refers specifically to a network, not a cloud."	Ulwembu	0	0.6466084718704224	FALSE
domain	The certificate has expired and should not be considered valid. Check that your computer's date and time are accurate.	domain	0	0.21256884932518005	"Error Diagnosis: Misinterpretation
Minimal Correction: Translate the isiZulu phrase ""domain"" as ""The certificate has expired.""
Must-Preserve: Check that your computer's date and time are accurate
Factual Detail: Emphasize the importance of checking the computer's date and time."	The certificate has expired.	0.023598465499315865	0.5935789942741394	FALSE
Isingoso	Mouse	Moss	0	0.5177430510520935	"Error Diagnosis: Incorrect translation
Minimal Correction: Correct translation
Must-Preserve: Isingoso
Factual Detail: Must be translated as ""Mouse"" in English."	Mouse	1	0.9824016690254211	TRUE
Ngakhoni ukuqala uhlelo %s: %ss	Unable to establish service %s: %s	I couldn't start the program %s: %ss	0.234623503	0.6904758810997009	"Error Diagnosis: Incorrect phrasing
Minimal Correction: Use correct terminology
Must-Preserve: Unable, establish, service
Factual Detail: Express the action of setting up a service accurately."	Unable to start the service %s: %ss	0.4518010018049224	0.8439313173294067	TRUE
Uma indawoyohlu icishiwe, indawo yohlu ne its hlelo kuyalahleka. Cisha lendawo yohlu?	When a panel is deleted, the panel and its settings are lost.	If the list area is deleted, the list location and its settings will be lost. Delete this list area?	0.17428995613227571	0.6924861669540405	"Error Diagnosis: Inaccurate meaning.
Minimal Correction: Use correct translation for ""panel"" instead of ""list area.""
Must-Preserve: panel, settings
Factual Detail: The reference text is referring to a panel, not a list area."	If the panel is deleted, the panel location and its settings will be lost. Delete this panel?	0.3264128346656048	0.8052791953086853	TRUE
Futhi angeke ngisaba i-Capulet.	And I'll no longer be a Capulet.	And I will not fear the Capulet.	0.088894364	0.6854473948478699	"Error Diagnosis: Misinterpreted possessive pronoun.
Minimal Correction: Change ""the"" to ""be.""
Must-Preserve: Capulet
Factual Detail: The speaker's declaration of no longer being part of the Capulet family."	And I will no longer be a Capulet.	0.6606328636027614	0.8750771284103394	TRUE
Ukugcwaliswa	Saturation	Fulfillment	0	0.4522877037525177	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Change to ""saturation""
Must-Preserve: Ukugcwaliswa
Factual Detail: Reflects the concept of being filled to capacity."	Saturation	1	0.9870988726615906	TRUE
Okuvamile	General	Commonly	0	0.5885087847709656	"Error Diagnosis: Inaccurate meaning
Minimal Correction: Replace ""Commonly"" with ""General""
Must-Preserve: Okuvamile
Factual Detail: Indicates something widely accepted or acknowledged."	Okuvamile	0	0.4544937014579773	FALSE
Izilimi zokuhlola ukupeletwa	Spell checking languages	Languages for assessing proficiency	0	0.6193172335624695	"Error Diagnosis: Misinterpretation
Minimal Correction: Change to ""Spell checking languages""
Must-Preserve: Languages, Spell checking
Factual Detail: The translation should refer to languages used for spell checking."	Spell checking languages	0.5757197301274735	0.9516122341156006	TRUE
Veza/fihla i-pane yehlangothi lewindi.	Show/Hide the image gallery pane.	Show/hide the side panel of the window.	0.034010868	0.60326618	"Error Diagnosis: Literal phrasing
Minimal Correction: Replace ""side panel"" with ""image gallery""
Must-Preserve: ""Veza/fihla i-pane yehlangothi lewindi""
Factual Detail: The translation should accurately reflect the function of showing/hiding an image gallery pane."	Show/hide the image gallery pane.	0.7598356856515925	0.9051333069801331	TRUE
Hambisa i-evince ngendlela yombukiso	Run evince in presentation mode	Present the evidence in a demonstrative manner.	0.028599617161713803	0.6348616480827332	"Error Diagnosis: Incorrect action verb.
Minimal Correction: Use correct action verb.
Must-Preserve: evince
Factual Detail: Action of running evince in presentation mode."	Run evince in presentation mode.	0.7598356856515925	0.9159807562828064	TRUE
Uhele wetekisi	Text Editor	The taxi driver	0	0.5271439552307129	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Replace with ""Text Editor""
Must-Preserve: Uhele, wetekisi
Factual Detail: The translation refers to a software tool, not a profession."	Text Editor	0.2213885886251307	0.9880414605140686	TRUE
_Hlela	_Format…	Arrange	0	0.6296138167381287	"Error Diagnosis: Incorrect word choice
Minimal Correction: Use correct term
Must-Preserve: _Hlela
Factual Detail: The translation should accurately convey the meaning of 'format'."	_Hlela	0	0.8344396948814392	TRUE
Bonisa ongabathinta abangaphandle kolayini	Show offline contacts	Show the contacts of those outside the line	0.034010868	0.6194455623626709	"Error Diagnosis: Misinterpretation of ""abangaphandle""
Minimal Correction: Use correct translation for ""abangaphandle""
Must-Preserve: Bonisa, abangaphandle
Factual Detail: Indicates showing contacts that are offline."	Show the contacts who are offline	0.049475702907177795	0.7230474948883057	TRUE
%s: Ngakhoni ukufunda Uhlobo Lwesixhumanisi	%s: Could not read Connection Type	I was able to learn the Type of Link	0.02573285	0.6054115295410156	"Error Diagnosis: Misinterpreted meaning
Minimal Correction: Use ""Could not read"" instead of ""I was able to learn""
Must-Preserve: Connection Type
Factual Detail: The inability to understand the type of connection."	I could not read the Type of Connection	0.084703925	0.7592125535011292	TRUE
_I-Tab edlule	_Previous	The previous Tab	0	0.6158051490783691	"Error Diagnosis: Overly specific translation
Minimal Correction: Simplify to match reference
Must-Preserve: Previous
Factual Detail: The translation should convey the idea of something that came before."	The previous tab	0	0.6725351214408875	FALSE
Sebenzisa _Iphutha Lesizinda	Use _Default Background	Use _Foundation Error	0.0724975	0.5474994778633118	"Error Diagnosis: Incorrect term choice
Minimal Correction: Use correct term
Must-Preserve: Use, Default, Background
Factual Detail: Emphasizes the default setting or original state."	Use _Default Settings	0.21177974141341938	0.8012967705726624	TRUE
Isibonisi %s sihlangabezane nephutha masiqala.	The list view encountered an error.	The display %s encountered an error as we started.	0.13190955568171472	0.6352890133857727	"Error Diagnosis: Misinterpreted context
Minimal Correction: Change ""display"" to ""list view""
Must-Preserve: encountered an error
Factual Detail: Emphasize the error occurring in the list view."	The list view %s encountered an error as we started.	0.18499944101432772	0.700458825	TRUE
_Phezulu	_Up	Above	0	0.5003823637962341	"Error Diagnosis: Inaccurate translation
Minimal Correction: Change to ""Up""
Must-Preserve: _Phezulu
Factual Detail: Emphasize directionality of position."	Up	0	0.830679178	TRUE
Umphathi wengobo yomlando	Archive Manager	The administrator of the historical record	0	0.5457020401954651	"Error Diagnosis: Inaccurate title interpretation
Minimal Correction: Use more accurate job title
Must-Preserve: umphathi, yomlando
Factual Detail: Reflect the role of managing historical records."	The manager of the historical archives	0	0.5880259275436401	FALSE
Fihla indawo yohlu ekhoneni ngokuzenzakalela	Automatically hide panel into corner	Hide the list location in the corner automatically	0.028599617161713803	0.6722988486289978	"Error Diagnosis: Misinterpreted meaning
Minimal Correction: Adjust phrasing for accuracy
Must-Preserve: Automatically hide panel
Factual Detail: The action should be done automatically and the location should be a panel."	Automatically conceal the panel location in the corner	0.037639213	0.8216400146484375	TRUE
Dala i_ngobo yomlando	Create _Archive	Create a historical record	0.061033220311973134	0.6305095553398132	"Error Diagnosis: Misinterpreted meaning
Minimal Correction: Use accurate term
Must-Preserve: Create, Archive
Factual Detail: Emphasize the act of archiving, not just creating."	Archive the historical record	0	0.6067891716957092	FALSE
Isabelo "%s" asikho.	The history location doesn't exist.	The item "%s" is not available.	0.027895820162122397	0.5500833988189697	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Use correct meaning
Must-Preserve: Isabelo, asikho
Factual Detail: Convey absence, not availability."	The item "%s" is not in stock.	0.02568481	0.5205844640731812	FALSE
Igama lozokwengamela elilindelwe: %s	Expected hostname: %s	The anticipated name of the overseer is: %s	0.12867201458772706	0.6179212331771851	"Error Diagnosis: Misinterpretation of the term ""lozokwengamela"".
Minimal Correction: Replace with ""hostname"".
Must-Preserve: Expected
Factual Detail: Convey the sense of anticipation or expectation."	The anticipated hostname is: %s	0.20748340713083765	0.8725191950798035	TRUE
_Thwebula isithombe	_Take a photo	Download the image	0	0.6646977066993713	"Error Diagnosis: Incorrect verb choice
Minimal Correction: Replace with ""Take a photo""
Must-Preserve: Thwebula, isithombe
Factual Detail: The action is about capturing an image, not downloading it."	Take a photo	0.21177974141341938	0.9051117300987244	TRUE
Kwesokudla	Right	To the right	0	0.695006788	"Error Diagnosis: Unnecessary preposition
Minimal Correction: Remove preposition
Must-Preserve: Right
Factual Detail: The translation should reflect the direction without unnecessary words."	To the right	0	0.695006788	FALSE
Akunasikhala kumfikela.	%S more space is required to copy to the destination.	There is no time for him to arrive.	0.024266289757869118	0.4736019968986511	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Use correct meaning
Must-Preserve: Akunasikhala kumfikela
Factual Detail: Emphasize the lack of space for copying to the destination."	There is no room for him to arrive.	0.024266289757869118	0.47546350955963135	FALSE
F_akela umlayelo kacima uzodlula udoti	I_nclude a Delete command that bypasses Trash	The command to delete will surpass the trash.	0.02573285	0.5734148621559143	"Error Diagnosis: Misinterpretation of ""umlayelo"" as ""command to delete"".
Minimal Correction: Change ""The command to delete will surpass the trash"" to ""Include a Delete command that bypasses Trash"".
Must-Preserve: ""Delete command""
Factual Detail: The translation should convey the idea of skipping the trash when deleting."	Include a Delete command that bypasses Trash	0.8091067115702212	0.8186094760894775	TRUE
intwana yemenyu yesisakazi	radio menu item	menu item of the broadcaster	0.12121093525642128	0.6890907287597656	"Error Diagnosis: Misinterpretation
Minimal Correction: Change to ""radio station menu item""
Must-Preserve: intwana yemenyu, yesisakazi
Factual Detail: Specifies that the menu item is from a radio station."	radio station menu item	0.18616487055295167	0.9440967440605164	TRUE
Akunasikhala kumfikela.	%S more space is required to copy to the destination.	There is no time wasted on him.	0.020628634	0.47085049748420715	"Error Diagnosis: Misinterpreted meaning.
Minimal Correction: Use correct translation.
Must-Preserve: more space
Factual Detail: Emphasize need for additional space."	There is no room for him to arrive.	0.024266289757869118	0.47546350955963135	FALSE
Umngenisi-bizo:	Password:	Noun	0	0.43884384632110596	"Error Diagnosis: Inaccurate translation
Minimal Correction: Change ""Noun"" to ""Password""
Must-Preserve: Umngenisi-bizo
Factual Detail: Correct translation of isiZulu term."	Password	0.36787944117144233	0.8929982781410217	TRUE
Vumela abangenisi _abacushwe buqamama	A_llow remote system administrator login	Allow those who are oppressed to be supported closely.	0	0.4347049295902252	"Error Diagnosis: Misinterpretation of isiZulu phrase.
Minimal Correction: Translate as ""support remote system administrators"".
Must-Preserve: Vumela abangenisi
Factual Detail: The phrase refers to granting permission for remote access to system administrators."	Grant permission to remote system administrators	0.097177166	0.8271934986114502	TRUE
